p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8209619550489634,0.6984790371985479,0.4357952553550642,fftw,-77.7766,41.8130156993866,theta-knl,512,256.0,64,False,2,4
float,128,-no-reorder, , ,-pencils,-r2c_dir 1,0.8736163496117723,0.8840365557121153,0.469203985016111,fftw,-57.6714,42.06382369995117,theta-knl,512,256.0,64,False,3,4
float,128,-no-reorder,-a2a, ,-pencils,-r2c_dir 1,0.9262412120873472,0.750550005946937,0.9137956843954158,fftw,-51.0798,55.5670702457428,theta-knl,512,256.0,64,False,2,4
float,128,-reorder, , ,-pencils,-r2c_dir 1,0.8426866708857575,0.7214446178803922,0.2958203736885498,fftw,-63.7583,70.45165467262268,theta-knl,512,256.0,64,False,2,4
float,128,-reorder, , ,-pencils, ,0.9896666950819668,0.7026137921402036,0.4773541337782467,fftw,-37.4034,78.20658278465271,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av, ,-pencils,-r2c_dir 1,0.8945017591084182,0.7290824282249683,0.723255037729977,fftw,-83.6691,97.55235123634338,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av, ,-pencils,-r2c_dir 1,0.9024491987689308,0.7477797843094905,0.7258983217757239,fftw,-109.45,107.46034455299376,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av, ,-pencils, ,0.8864456277158729,0.7463317051662818,0.6886237623014517,fftw,-61.6911,123.00279307365416,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.8817810132839261,0.6773286599216004,0.1470831654971424,fftw,-23.8926,131.5536117553711,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8264562007240288,0.7456679047487798,0.7954695954635848,fftw,-83.1516,151.9018657207489,theta-knl,512,256.0,64,False,2,4
float,128,-reorder, , ,-pencils, ,0.9635860579408836,0.6990675018723154,0.7600415935470909,fftw,-63.3398,161.75362992286682,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av, ,-pencils,-r2c_dir 1,0.8981980542046547,0.7462721823904133,0.6385436175201467,fftw,-68.2326,180.45338678359985,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.9251876946667232,0.7204853011068418,0.547633607908034,fftw,-72.1166,188.50153803825376,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av,-p2p_pl,-pencils,-r2c_dir 1,0.8131159877222705,0.7243937331900432,0.4495409179080061,fftw,-76.0858,205.70351147651672,theta-knl,512,256.0,64,False,2,4
float,128,-no-reorder, ,-p2p,-pencils,-r2c_dir 1,0.8822697037699805,0.6997162660637312,0.129836520834482,fftw,-60.5915,213.50739407539368,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av,-p2p,-pencils,-r2c_dir 1,0.8850020068547029,0.6972664558288052,0.4272955167474659,fftw,-57.2336,233.9563102722168,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,0.9345597418297132,0.736693243498441,0.650157572663259,fftw,-104.376,242.2514522075653,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,0.9900148356464196,0.7219522100962606,0.8161494700124362,fftw,-86.7343,259.6518929004669,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2a, ,-pencils,-r2c_dir 0,0.9015615564524748,0.7262236213121461,0.0508134687816704,fftw,-10.9565,269.75173830986023,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,0.5757189943362918,0.7242623011522914,0.5317797273406205,fftw,-42.1946,288.351633310318,theta-knl,512,256.0,64,False,2,4
float,128, , , ,-pencils,-r2c_dir 1,0.9373576743479064,0.7363965252426692,0.3616891996536545,fftw,-71.5845,295.9581632614136,theta-knl,512,256.0,64,False,2,4
float,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 1,0.906843790137998,0.7365980946934624,0.3995025972173122,fftw,-73.1058,320.15192341804504,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,0.8641495501935472,0.711064953398246,0.3044825224069184,fftw,-109.47,330.2092182636261,theta-knl,512,256.0,64,False,2,4
float,128,-no-reorder, , , ,-r2c_dir 1,0.8912759506363029,0.701324012500482,0.2420848216803556,fftw,-80.9173,350.462833404541,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.9159693954029232,0.6982501130041591,0.5744747532866773,fftw,-10.9102,359.20814657211304,theta-knl,512,256.0,64,False,2,4
float,128,-reorder, , ,-pencils,-r2c_dir 1,0.8744753403463729,0.6900821671661964,0.8460311685456907,fftw,-65.3004,381.1058897972107,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2av, ,-pencils,-r2c_dir 1,0.8818889231631533,0.7237838907791755,0.4349547479498908,fftw,-40.168,394.7020220756531,theta-knl,512,256.0,64,False,2,4
float,128, ,-a2a, , ,-r2c_dir 1,0.865115389878495,0.7228887469033881,0.2947069029946398,fftw,-56.4894,415.00622391700745,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av, , ,-r2c_dir 1,0.8895322333341327,0.2771280654133173,0.1581839259592321,fftw,-66.8958,423.90652441978455,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2av,-p2p_pl, ,-r2c_dir 1,0.7960522346860707,0.7377475395725772,0.7773895820536603,fftw,-75.5536,447.6513357162476,theta-knl,512,256.0,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.8658427288598599,0.6992228225783457,0.574939960594072,fftw,-53.8967,458.2503321170807,theta-knl,512,256.0,64,False,2,4
