p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,256,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.6008401315496619,0.66420298064171,0.7390762415640374,fftw,-198.763,22.819572687149048,theta-knl,512,256,64,False,4,4
float,256,-no-reorder,-a2av, ,-pencils,-r2c_dir 2,0.5711672967101318,0.9368287879961344,0.9505425297896996,fftw,-185.039,22.882296085357662,theta-knl,512,256,64,False,5,4
float,256,-reorder, , ,-slabs,-r2c_dir 0,0.8727406923111273,0.2905350752406658,0.7046813846663731,fftw,-79.2864,22.92759895324707,theta-knl,512,256,64,False,2,4
float,256,-reorder,-a2av,-p2p,-slabs,-r2c_dir 2,0.4945252325380292,0.8123920780523995,0.1378453126550191,fftw,-76.6824,22.9501051902771,theta-knl,512,256,64,False,3,4
float,256,-reorder,-a2av, ,-slabs,-r2c_dir 0,0.979611225325422,0.3344459856395332,0.4456885556679099,fftw,-95.185,29.61777758598328,theta-knl,512,256,64,False,5,4
float,256,-reorder,-a2av,-p2p,-slabs,-r2c_dir 0,0.7435250816688119,0.7511659096988301,0.0149300804543817,fftw,-66.5672,30.29673767089844,theta-knl,512,256,64,False,2,4
double,256,-reorder, ,-p2p,-slabs,-r2c_dir 0,0.7574154463071214,0.6910228327608936,0.735995869324873,fftw,-31.5625,30.89631676673889,theta-knl,512,256,64,False,4,4
double,256,-reorder,-a2av,-p2p_pl,-slabs,-r2c_dir 2,0.8435478215563499,0.998035719695741,0.0789108965231556,fftw,-37.3526,31.92708396911621,theta-knl,512,256,64,False,3,4
float,256,-reorder, , ,-pencils,-r2c_dir 2,0.3631187951999895,0.4807352454953263,0.2800772242636059,fftw,-217.188,36.19345045089722,theta-knl,512,256,64,False,5,4
float,256,-reorder, ,-p2p,-pencils,-r2c_dir 2,0.8126893610601056,0.4396865622897219,0.8386825539403049,fftw,-159.473,37.20586585998535,theta-knl,512,256,64,False,2,4
float,256,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.9681431325298442,0.9844222179263156,0.2090897993225155,fftw,-153.346,37.7940731048584,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.691440644869106,0.8615598921370454,0.8855343017552738,fftw,-209.157,38.74660921096802,theta-knl,512,256,64,False,3,4
float,256,-reorder, , ,-pencils,-r2c_dir 2,0.9911171679351118,0.7528650675149919,0.8419264434339618,fftw,-177.62,43.15014314651489,theta-knl,512,256,64,False,5,4
float,256,-reorder, , ,-pencils,-r2c_dir 0,0.8035938683790734,0.5388684587673555,0.2935532737009144,fftw,-221.693,43.979936599731445,theta-knl,512,256,64,False,2,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 0,0.4836574357980986,0.6428996290415623,0.9318701726838868,fftw,-210.096,44.58394455909729,theta-knl,512,256,64,False,4,4
float,256,-reorder, , ,-slabs,-r2c_dir 1,0.881150572954371,0.4003379208009605,0.8931417125667599,fftw,-82.7623,50.09807205200195,theta-knl,512,256,64,False,5,4
double,256,-reorder,-a2av, ,-pencils,-r2c_dir 1,0.8837381300385191,0.6049966357046771,0.3611901216098976,fftw,-149.627,50.97184157371521,theta-knl,512,256,64,False,2,4
float,256,-reorder, , ,-pencils,-r2c_dir 1,0.6281117315175734,0.3915370028338993,0.3019281690823422,fftw,-195.613,51.53601121902466,theta-knl,512,256,64,False,4,4
float,256,-reorder, , ,-pencils,-r2c_dir 0,0.9204872308094236,0.1175993788289589,0.650770297901387,fftw,1.0,56.69073295593262,theta-knl,512,256,64,False,3,4
float,256,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,0.5899712694163263,0.1784495888583516,0.2775256839918048,fftw,-184.158,56.90750813484192,theta-knl,512,256,64,False,5,4
float,256,-reorder, , ,-slabs,-r2c_dir 2,0.499795396213323,0.1010697158791459,0.5353879910326668,fftw,-64.7186,57.74764347076416,theta-knl,512,256,64,False,2,4
float,256,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.5783602463667213,0.903481683276629,0.6587009331426683,fftw,-213.285,58.24278235435486,theta-knl,512,256,64,False,4,4
float,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.8028608585629993,0.4720734808109599,0.908839994791115,fftw,-33.5015,64.19803071022034,theta-knl,512,256,64,False,3,4
double,256,-reorder,-a2a, ,-pencils,-r2c_dir 1,0.3459635326587759,0.3788624982193673,0.0814870943405885,fftw,-31.5419,64.45193839073181,theta-knl,512,256,64,False,5,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 2,0.9805634991709662,0.7484624259735038,0.5588331947515164,fftw,-161.634,64.71727085113525,theta-knl,512,256,64,False,2,4
float,256,-no-reorder, , ,-pencils,-r2c_dir 0,0.972271904418007,0.7316959131091816,0.8236609972763652,fftw,-212.56,65.15981984138489,theta-knl,512,256,64,False,4,4
