p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,64,-no-reorder,-a2av, , , ,0.8266347751774663,0.5504690573997548,0.8929572470555993,fftw,-6.49263,26.484036922454834,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder,-a2av, , , ,0.9617407233138706,0.5854267177133095,0.5023279306400236,fftw,-7.27276,26.859307765960693,theta-knl,1024,256,64,False,3,4
double,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9968195331601417,0.5580361809364386,0.9840140005588411,fftw,-1.17432,27.118426084518433,theta-knl,1024,256,64,False,4,4
float,64, ,-a2av, ,-slabs,-r2c_dir 0,0.9920226790184021,0.44294858717866503,0.8554624941934604,fftw,1.0,36.07841372489929,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2av, , ,-r2c_dir 0,0.9753124793532498,0.5153329611360576,0.8833118473057576,fftw,-7.34864,35.207024574279785,theta-knl,1024,256,64,False,2,4
float,64, , , , ,-r2c_dir 0,0.8471924424254151,0.4203892464783692,0.8720405964997204,fftw,1.0,46.10045123100281,theta-knl,1024,256,64,False,3,4
float,64,-no-reorder, , ,-pencils,-r2c_dir 1,0.9509970998229491,0.5099415125104765,0.42880084719973793,fftw,-15.8693,35.46737623214722,theta-knl,1024,256,64,False,4,4
float,64,-reorder, , , ,-r2c_dir 0,0.9865811892569907,0.4742017240565885,0.3251374804082765,fftw,-7.36176,43.94567275047302,theta-knl,1024,256,64,False,2,4
float,64, , , , ,-r2c_dir 1,0.8275899004641845,0.5812245872383697,0.7126734438900201,fftw,-4.91692,43.8410210609436,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.952210835272674,0.4333318907662302,0.7279573745970632,fftw,1.0,43.99234867095947,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9435240498527112,0.41055531713463733,0.37498066112272377,fftw,1.0,63.407004594802856,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9999355045794946,0.45732216652049174,0.3244310906857548,fftw,1.0,63.522926330566406,theta-knl,1024,256,64,False,2,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.5430253448361624,0.38771234659246173,0.7146111540316962,fftw,-6.26653,52.47386813163757,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder, , , ,-r2c_dir 0,0.7294858235822355,0.611766547456203,0.8678473346842719,fftw,-6.78585,54.03477692604065,theta-knl,1024,256,64,False,3,4
double,64,-reorder,-a2av, , ,-r2c_dir 0,0.7716319598311997,0.5760991382968023,0.3368591946250056,fftw,-2.65526,61.01851844787598,theta-knl,1024,256,64,False,5,4
float,64, ,-a2av, , ,-r2c_dir 0,0.9367279668926387,0.4695174408291233,0.9558366011306674,fftw,-7.37421,62.749439001083374,theta-knl,1024,256,64,False,3,4
double,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.5462452018360763,0.5679650707988344,0.7581544186269367,fftw,-0.735104,70.11685729026794,theta-knl,1024,256,64,False,5,4
float,64,-reorder,-a2a, , ,-r2c_dir 0,0.9436922914545858,0.46631361660399323,0.7978735153028559,fftw,1.0,70.7431857585907,theta-knl,1024,256,64,False,3,4
float,64, ,-a2av, , , ,0.5659711671673198,0.7057655363038106,0.9215598130525864,fftw,-9.44814,71.87549614906311,theta-knl,1024,256,64,False,4,4
double,64, ,-a2a, , , ,0.9721738383181238,0.4642237051188372,0.9335328036742486,fftw,1.0,71.73437285423279,theta-knl,1024,256,64,False,2,4
double,64,-no-reorder,-a2av, , ,-r2c_dir 2,0.6531806561782058,0.596957381078596,0.9787873448247318,fftw,-1.49293,78.42129874229431,theta-knl,1024,256,64,False,5,4
float,64,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9989962022398113,0.41571302191619014,0.14863932539120048,fftw,1.0,78.57466125488281,theta-knl,1024,256,64,False,3,4
float,64, ,-a2av, ,-pencils,-r2c_dir 0,0.9900496200192805,0.44739382633486535,0.9864490356742187,fftw,1.0,80.4856927394867,theta-knl,1024,256,64,False,2,4
float,64,-reorder, , , , ,0.9937899840981623,0.6778202183759147,0.8959744744726494,fftw,-11.4407,80.2873170375824,theta-knl,1024,256,64,False,4,4
float,64,-no-reorder,-a2av, , ,-r2c_dir 0,0.8525719169407173,0.368272191210414,0.9522521783938354,fftw,-6.65734,86.83773398399353,theta-knl,1024,256,64,False,5,4
float,64, ,-a2av, , ,-r2c_dir 0,0.7540177559547038,0.4708451610526613,0.8534733794668463,fftw,-5.24521,87.15887308120728,theta-knl,1024,256,64,False,3,4
double,64,-reorder,-a2av, , ,-r2c_dir 0,0.9753262795547172,0.6429376153615401,0.8729656360932863,fftw,-2.05876,88.42187595367432,theta-knl,1024,256,64,False,4,4
double,64,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.9783696234404426,0.39819792781702573,0.719595013098784,fftw,-3.55873,89.3739812374115,theta-knl,1024,256,64,False,2,4
float,64,-reorder,-a2av, , ,-r2c_dir 0,0.9936118355298329,0.4307650370949921,0.9913376937242961,fftw,1.0,94.78430223464966,theta-knl,1024,256,64,False,5,4
float,64, ,-a2av, , ,-r2c_dir 1,0.8913211125641581,0.5592074559096557,0.9072197694971629,fftw,-4.01534,95.62135100364685,theta-knl,1024,256,64,False,3,4
